epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,20441.5,0.75142,0.52094,1.17568,0.83651,0.75757,0.81244,0.52517,1.19828,0.75763,1.72667,6.77488e-05,6.77488e-05,6.77488e-05
90,20670.7,0.74469,0.51754,1.17234,0.8245,0.74806,0.80149,0.52315,1.20612,0.76946,1.73066,6.25414e-05,6.25414e-05,6.25414e-05
91,20900.4,0.65241,0.37503,1.11987,0.83576,0.74735,0.79723,0.52261,1.20758,0.7523,1.74741,5.7334e-05,5.7334e-05,5.7334e-05
92,21129.6,0.64495,0.35732,1.115,0.83953,0.73438,0.78991,0.51983,1.20412,0.76878,1.74244,5.21266e-05,5.21266e-05,5.21266e-05
93,21358.7,0.6354,0.35857,1.11007,0.86829,0.72767,0.80216,0.51864,1.21093,0.78889,1.76806,4.69192e-05,4.69192e-05,4.69192e-05
94,21587.8,0.62431,0.34808,1.09996,0.83648,0.75567,0.81054,0.52416,1.21077,0.76348,1.76845,4.17118e-05,4.17118e-05,4.17118e-05
95,21816.8,0.62667,0.34783,1.09238,0.84795,0.74444,0.80942,0.52502,1.21463,0.75541,1.76928,3.65044e-05,3.65044e-05,3.65044e-05
96,22045.7,0.61907,0.34087,1.09426,0.83153,0.75274,0.8083,0.52567,1.21419,0.76324,1.78028,3.1297e-05,3.1297e-05,3.1297e-05
97,22274.7,0.60717,0.33074,1.08336,0.82589,0.7592,0.79854,0.53067,1.21835,0.75393,1.7853,2.60896e-05,2.60896e-05,2.60896e-05
98,22503.7,0.60339,0.33076,1.08625,0.85738,0.74881,0.80748,0.5313,1.21618,0.7485,1.78612,2.08822e-05,2.08822e-05,2.08822e-05
99,22732.6,0.59754,0.32407,1.07848,0.86201,0.74076,0.80358,0.53208,1.21335,0.75341,1.78524,1.56748e-05,1.56748e-05,1.56748e-05
100,22961.5,0.59736,0.32376,1.08342,0.86262,0.74506,0.80354,0.5315,1.21164,0.75767,1.78841,1.04674e-05,1.04674e-05,1.04674e-05
